"","SP500","DowJones","Nasdaq","FTSE100"
"2023-10-09",4335.66015625,33604.6484375,13484.240234375,7492.2001953125
"2023-10-10",4358.240234375,33739.30078125,13562.83984375,7628.2001953125
"2023-10-11",4376.9501953125,33804.87109375,13659.6796875,7620
"2023-10-12",4349.60986328125,33631.140625,13574.2197265625,7644.7998046875
"2023-10-13",4327.77978515625,33670.2890625,13407.23046875,7599.60009765625
"2023-10-16",4373.6298828125,33984.5390625,13567.98046875,7630.60009765625
"2023-10-17",4373.2001953125,33997.6484375,13533.75,7675.2001953125
"2023-10-18",4314.60009765625,33665.078125,13314.2998046875,7588
"2023-10-19",4278,33414.171875,13186.1796875,7499.5
"2023-10-20",4224.16015625,33127.28125,12983.8095703125,7402.10009765625
"2023-10-23",4217.0400390625,32936.41015625,13018.330078125,7374.7998046875
"2023-10-24",4247.68017578125,33141.37890625,13139.8701171875,7389.7001953125
"2023-10-25",4186.77001953125,33035.9296875,12821.2197265625,7414.2998046875
"2023-10-26",4137.22998046875,32784.30078125,12595.6103515625,7354.60009765625
"2023-10-27",4117.3701171875,32417.58984375,12643.009765625,7291.2998046875
"2023-10-30",4166.81982421875,32928.9609375,12789.48046875,7327.39990234375
"2023-10-31",4193.7998046875,33052.87109375,12851.240234375,7321.7001953125
"2023-11-01",4237.85986328125,33274.578125,13061.4697265625,7342.39990234375
"2023-11-02",4317.77978515625,33839.078125,13294.1904296875,7446.5
"2023-11-03",4358.33984375,34061.3203125,13478.2802734375,7417.7001953125
"2023-11-06",4365.97998046875,34095.859375,13518.7802734375,7417.7998046875
"2023-11-07",4378.3798828125,34152.6015625,13639.8603515625,7410
"2023-11-08",4382.77978515625,34112.26953125,13650.41015625,7401.7001953125
"2023-11-09",4347.35009765625,33891.94140625,13521.4501953125,7455.7001953125
"2023-11-10",4415.240234375,34283.1015625,13798.1103515625,7360.60009765625
"2023-11-13",4411.5498046875,34337.87109375,13767.740234375,7425.7998046875
"2023-11-14",4495.7001953125,34827.69921875,14094.3798828125,7440.5
"2023-11-15",4502.8798828125,34991.2109375,14103.83984375,7486.89990234375
"2023-11-16",4508.240234375,34945.46875,14113.669921875,7411
"2023-11-17",4514.02001953125,34947.28125,14125.48046875,7504.2998046875
"2023-11-20",4547.3798828125,35151.0390625,14284.5302734375,7496.39990234375
"2023-11-21",4538.18994140625,35088.2890625,14199.98046875,7482
"2023-11-22",4556.6201171875,35273.03125,14265.8603515625,7469.5
"2023-11-23",NA,NA,NA,7483.60009765625
"2023-11-24",4559.33984375,35390.1484375,14250.849609375,7488.2001953125
"2023-11-27",4550.43017578125,35333.46875,14241.01953125,7460.7001953125
"2023-11-28",4554.89013671875,35416.98046875,14281.759765625,7455.2001953125
"2023-11-29",4550.580078125,35430.421875,14258.490234375,7423.5
"2023-11-30",4567.7998046875,35950.890625,14226.2197265625,7453.7998046875
"2023-12-01",4594.6298828125,36245.5,14305.0302734375,7529.39990234375
"2023-12-04",4569.77978515625,36204.44140625,14185.490234375,7513
"2023-12-05",4567.18017578125,36124.55859375,14229.91015625,7489.7998046875
"2023-12-06",4549.33984375,36054.4296875,14146.7099609375,7515.39990234375
"2023-12-07",4585.58984375,36117.37890625,14339.990234375,7513.7001953125
"2023-12-08",4604.3701171875,36247.87109375,14403.9697265625,7554.5
"2023-12-11",4622.43994140625,36404.9296875,14432.490234375,7544.89990234375
"2023-12-12",4643.7001953125,36577.94140625,14533.400390625,7542.7998046875
